Date,Net Clicks,Install Clicks,Uninstall Clicks
2021-04-23,17,30,13
2021-04-24,34,50,16
2021-04-25,28,46,18
2021-04-26,22,31,9
2021-04-27,19,29,10
2021-04-28,12,27,15
2021-04-29,38,50,12
2021-04-30,21,35,14
2021-05-01,44,56,12
2021-05-02,44,51,7
2021-05-03,28,39,11
2021-05-04,33,40,7
2021-05-05,29,45,16
2021-05-06,35,47,12
2021-05-07,30,43,13
2021-05-08,22,36,14
2021-05-09,21,34,13
2021-05-10,35,46,11
2021-05-11,26,37,11
2021-05-12,27,39,12
2021-05-13,31,49,18
2021-05-14,28,30,2
2021-05-15,21,30,9
2021-05-16,31,46,15
2021-05-17,28,35,7
2021-05-18,27,40,13
2021-05-19,25,34,9
2021-05-20,30,99,69
2021-05-21,37,136,99
2021-05-22,36,87,51
2021-05-23,36,76,40
2021-05-24,31,75,44
2021-05-25,30,35,5
2021-05-26,31,47,16
2021-05-27,23,37,14
2021-05-28,38,50,12
2021-05-29,40,65,25
2021-05-30,47,69,22
2021-05-31,22,62,40
2021-06-01,23,49,26
2021-06-02,35,58,23
2021-06-03,41,59,18
2021-06-04,38,57,19
2021-06-05,35,52,17
2021-06-06,25,47,22
2021-06-07,21,42,21
2021-06-08,37,55,18
2021-06-09,23,35,12
2021-06-10,30,44,14
2021-06-11,54,70,16
2021-06-12,35,47,12
2021-06-13,25,41,16
2021-06-14,30,39,9
2021-06-15,25,41,16
2021-06-16,26,40,14
2021-06-17,40,62,22
2021-06-18,31,43,12
2021-06-19,44,61,17
2021-06-20,22,33,11
2021-06-21,23,41,18
2021-06-22,19,30,11
2021-06-23,18,37,19
2021-06-24,30,37,7
2021-06-25,43,57,14
2021-06-26,31,51,20
2021-06-27,17,39,22
2021-06-28,31,49,18
2021-06-29,16,30,14
2021-06-30,32,41,9
2021-07-01,35,49,14
2021-07-02,25,36,11
2021-07-03,32,39,7
2021-07-04,33,47,14
2021-07-05,30,57,27
2021-07-06,34,39,5
