Date,Net Clicks,Install Clicks,Uninstall Clicks
2021-05-24,50,78,28
2021-05-25,62,77,15
2021-05-26,52,150,98
2021-05-27,47,98,51
2021-05-28,48,106,58
2021-05-29,46,86,40
2021-05-30,65,106,41
2021-05-31,43,83,40
2021-06-01,42,66,24
2021-06-02,44,69,25
2021-06-03,35,53,18
2021-06-04,52,79,27
2021-06-05,65,85,20
2021-06-06,37,56,19
2021-06-07,38,72,34
2021-06-08,45,74,29
2021-06-09,51,76,25
2021-06-10,30,48,18
2021-06-11,39,53,14
2021-06-12,31,54,23
2021-06-13,50,59,9
2021-06-14,37,55,18
2021-06-15,43,57,14
2021-06-16,50,71,21
2021-06-17,40,58,18
2021-06-18,50,63,13
2021-06-19,54,68,14
2021-06-20,44,73,29
2021-06-21,51,69,18
2021-06-22,40,57,17
2021-06-23,37,60,23
2021-06-24,51,68,17
2021-06-25,42,53,11
2021-06-26,55,66,11
2021-06-27,41,61,20
2021-06-28,36,50,14
2021-06-29,47,58,11
2021-06-30,63,79,16
2021-07-01,41,139,98
2021-07-02,49,174,125
2021-07-03,31,107,76
2021-07-04,55,99,44
2021-07-05,55,95,40
2021-07-06,37,62,25
2021-07-07,52,89,37
2021-07-08,43,66,23
2021-07-09,47,71,24
2021-07-10,50,78,28
2021-07-11,34,50,16
2021-07-12,43,68,25
2021-07-13,50,71,21
2021-07-14,47,74,27
2021-07-15,46,66,20
2021-07-16,37,54,17
2021-07-17,52,70,18
2021-07-18,46,67,21
2021-07-19,50,76,26
2021-07-20,45,68,23
2021-07-21,52,71,19
2021-07-22,48,62,14
2021-07-23,44,61,17
2021-07-24,40,59,19
2021-07-25,35,51,16
2021-07-26,36,52,16
2021-07-27,45,58,13
2021-07-28,38,53,15
2021-07-29,40,59,19
2021-07-30,45,53,8
2021-07-31,47,53,6
2021-08-01,32,49,17
2021-08-02,38,48,10
2021-08-03,34,45,11
2021-08-04,52,62,10
2021-08-05,52,61,9
2021-08-06,33,42,9
2021-08-07,41,48,7
2021-08-08,39,53,14
2021-08-09,29,43,14
2021-08-10,46,54,8
2021-08-11,39,81,42
2021-08-12,41,170,129
2021-08-13,53,89,36
2021-08-14,52,103,51
2021-08-15,43,122,79
2021-08-16,54,116,62
2021-08-17,42,94,52
2021-08-18,31,67,36
2021-08-19,55,83,28
2021-08-20,34,67,33
2021-08-21,40,74,34
2021-08-22,43,84,41
2021-08-23,30,61,31
2021-08-24,40,64,24
2021-08-25,33,49,16
2021-08-26,35,55,20
2021-08-27,31,58,27
2021-08-28,57,84,27
2021-08-29,40,64,24
2021-08-30,44,56,12
2021-08-31,45,64,19
2021-09-01,33,57,24
2021-09-02,59,80,21
2021-09-03,42,57,15
2021-09-04,41,66,25
2021-09-05,35,52,17
2021-09-06,36,53,17
2021-09-07,38,54,16
2021-09-08,36,55,19
2021-09-09,27,42,15
2021-09-10,34,44,10
2021-09-11,41,60,19
2021-09-12,44,61,17
2021-09-13,44,55,11
2021-09-14,35,51,16
2021-09-15,36,44,8
2021-09-16,39,52,13
2021-09-17,31,40,9
2021-09-18,47,54,7
2021-09-19,56,70,14
2021-09-20,32,41,9
2021-09-21,33,40,7
2021-09-22,36,45,9
2021-09-23,42,53,11
2021-09-24,28,38,10
2021-09-25,37,49,12
2021-09-26,40,90,50
2021-09-27,33,112,79
2021-09-28,31,74,43
2021-09-29,30,75,45
2021-09-30,34,101,67
2021-10-01,25,78,53
2021-10-02,51,99,48
2021-10-03,43,85,42
2021-10-04,39,62,23
2021-10-05,36,61,25
2021-10-06,34,53,19
2021-10-07,30,53,23
2021-10-08,49,84,35
2021-10-09,43,64,21
2021-10-10,40,62,22
2021-10-11,35,50,15
2021-10-12,39,55,16
2021-10-13,49,62,13
2021-10-14,48,54,6
2021-10-15,40,61,21
2021-10-16,59,74,15
2021-10-17,35,49,14
2021-10-18,34,46,12
2021-10-19,40,51,11
2021-10-20,43,58,15
2021-10-21,35,43,8
2021-10-22,37,60,23
2021-10-23,40,61,21
2021-10-24,53,68,15
2021-10-25,36,46,10
2021-10-26,34,46,12
2021-10-27,44,54,10
2021-10-28,32,45,13
2021-10-29,34,46,12
2021-10-30,49,59,10
2021-10-31,37,60,23
2021-11-01,34,49,15
2021-11-02,43,53,10
2021-11-03,40,45,5
2021-11-04,39,51,12
2021-11-05,41,54,13
2021-11-06,42,69,27
2021-11-07,47,76,29
2021-11-08,65,96,31
2021-11-09,51,73,22
2021-11-10,51,78,27
2021-11-11,44,77,33
2021-11-12,66,101,35
2021-11-13,64,114,50
2021-11-14,55,104,49
2021-11-15,28,80,52
2021-11-16,37,76,39
2021-11-17,48,80,32
2021-11-18,60,105,45
2021-11-19,43,81,38
2021-11-20,41,75,34
2021-11-21,61,83,22
2021-11-22,62,80,18
2021-11-23,46,102,56
2021-11-24,45,84,39
2021-11-25,53,86,33
2021-11-26,51,77,26
2021-11-27,37,58,21
2021-11-28,45,63,18
2021-11-29,33,57,24
2021-11-30,43,55,12
2021-12-01,30,49,19
2021-12-02,31,74,43
2021-12-03,28,64,36
2021-12-04,47,87,40
2021-12-05,60,80,20
2021-12-06,36,55,19
2021-12-07,37,61,24
2021-12-08,37,59,22
2021-12-09,50,64,14
2021-12-10,45,57,12
2021-12-11,55,76,21
2021-12-12,67,85,18
2021-12-13,44,57,13
2021-12-14,34,88,54
2021-12-15,45,85,40
2021-12-16,43,68,25
2021-12-17,38,69,31
2021-12-18,49,76,27
2021-12-19,49,75,26
2021-12-20,42,63,21
2021-12-21,34,51,17
2021-12-22,39,57,18
2021-12-23,37,48,11
2021-12-24,56,69,13
2021-12-25,83,96,13
2021-12-26,93,112,19
2021-12-27,97,111,14
2021-12-28,55,76,21
2021-12-29,80,97,17
2021-12-30,49,63,14
2021-12-31,52,66,14
2022-01-01,52,62,10
2022-01-02,61,69,8
2022-01-03,47,63,16
2022-01-04,45,57,12
2022-01-05,52,63,11
2022-01-06,59,71,12
2022-01-07,56,74,18
2022-01-08,67,78,11
2022-01-09,48,59,11
2022-01-10,38,44,6
2022-01-11,35,63,28
2022-01-12,34,146,112
2022-01-13,45,95,50
2022-01-14,40,74,34
2022-01-15,58,108,50
2022-01-16,51,93,42
2022-01-17,39,75,36
2022-01-18,49,63,14
2022-01-19,46,64,18
2022-01-20,33,57,24
2022-01-21,37,54,17
2022-01-22,49,74,25
2022-01-23,50,86,36
2022-01-24,37,55,18
2022-01-25,51,64,13
2022-01-26,44,63,19
2022-01-27,56,69,13
2022-01-28,47,61,14
2022-01-29,43,56,13
2022-01-30,54,72,18
2022-01-31,40,57,17
2022-02-01,35,50,15
2022-02-02,44,58,14
2022-02-03,39,49,10
2022-02-04,62,75,13
2022-02-05,72,90,18
2022-02-06,66,77,11
2022-02-07,59,68,9
2022-02-08,49,58,9
2022-02-09,45,48,3
2022-02-10,45,53,8
2022-02-11,44,49,5
2022-02-12,44,58,14
2022-02-13,64,77,13
2022-02-14,43,48,5
2022-02-15,51,56,5
2022-02-16,43,49,6
2022-02-17,34,43,9
2022-02-18,42,56,14
2022-02-19,60,71,11
2022-02-20,49,60,11
2022-02-21,34,44,10
2022-02-22,38,42,4
2022-02-23,40,50,10
2022-02-24,45,56,11
2022-02-25,49,82,33
2022-02-26,61,193,132
2022-02-27,52,214,162
2022-02-28,35,113,78
2022-03-01,34,98,64
2022-03-02,40,96,56
2022-03-03,44,78,34
2022-03-04,44,82,38
2022-03-05,44,196,152
2022-03-06,50,129,79
2022-03-07,38,99,61
2022-03-08,55,209,154
2022-03-09,46,115,69
2022-03-10,49,104,55
2022-03-11,39,91,52
2022-03-12,45,204,159
2022-03-13,34,120,86
2022-03-14,39,87,48
2022-03-15,38,88,50
2022-03-16,44,82,38
2022-03-17,44,76,32
2022-03-18,42,77,35
2022-03-19,42,73,31
2022-03-20,40,63,23
2022-03-21,35,49,14
2022-03-22,31,64,33
2022-03-23,43,65,22
2022-03-24,39,59,20
2022-03-25,37,61,24
2022-03-26,42,68,26
2022-03-27,49,69,20
2022-03-28,28,39,11
2022-03-29,38,53,15
2022-03-30,47,61,14
2022-03-31,44,59,15
2022-04-01,44,57,13
2022-04-02,48,61,13
2022-04-03,45,56,11
2022-04-04,45,55,10
2022-04-05,44,56,12
2022-04-06,39,51,12
2022-04-07,39,56,17
2022-04-08,40,48,8
2022-04-09,50,62,12
2022-04-10,44,51,7
2022-04-11,44,54,10
2022-04-12,39,46,7
2022-04-13,44,55,11
2022-04-14,45,62,17
2022-04-15,37,45,8
2022-04-16,53,64,11
2022-04-17,32,42,10
2022-04-18,47,57,10
2022-04-19,37,43,6
2022-04-20,26,37,11
2022-04-21,47,56,9
2022-04-22,34,43,9
2022-04-23,41,47,6
2022-04-24,37,45,8
2022-04-25,29,35,6
2022-04-26,47,58,11
2022-04-27,23,30,7
2022-04-28,23,30,7
2022-04-29,32,36,4
2022-04-30,48,58,10
2022-05-01,41,45,4
2022-05-02,46,58,12
2022-05-03,35,39,4
2022-05-04,31,37,6
2022-05-05,31,35,4
2022-05-06,36,42,6
2022-05-07,31,40,9
2022-05-08,24,34,10
2022-05-09,24,29,5
2022-05-10,40,46,6
2022-05-11,36,42,6
2022-05-12,30,34,4
2022-05-13,38,43,5
2022-05-14,47,51,4
2022-05-15,42,46,4
2022-05-16,22,26,4
2022-05-17,33,37,4
2022-05-18,35,39,4
2022-05-19,22,28,6
2022-05-20,25,34,9
2022-05-21,50,189,139
2022-05-22,31,130,99
2022-05-23,20,87,67
2022-05-24,29,82,53
2022-05-25,33,69,36
2022-05-26,34,67,33
2022-05-27,26,50,24
2022-05-28,27,48,21
2022-05-29,37,93,56
2022-05-30,36,164,128
2022-05-31,24,92,68
2022-06-01,26,143,117
2022-06-02,27,81,54
2022-06-03,24,51,27
2022-06-04,42,65,23
2022-06-05,24,55,31
2022-06-06,25,55,30
2022-06-07,25,42,17
2022-06-08,24,41,17
2022-06-09,24,39,15
2022-06-10,33,42,9
2022-06-11,33,56,23
2022-06-12,37,55,18
2022-06-13,19,43,24
2022-06-14,25,38,13
2022-06-15,26,38,12
2022-06-16,33,46,13
2022-06-17,40,56,16
