Date,Net Clicks,Install Clicks,Uninstall Clicks
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,0,0,0
2020-10-02,0,0,0
2020-10-03,0,0,0
2020-10-04,0,0,0
2020-10-05,0,0,0
2020-10-06,0,0,0
2020-10-07,0,0,0
2020-10-08,0,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,0,0
2020-10-13,0,0,0
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,0,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,0,0,0
2020-10-27,0,0,0
2020-10-28,0,0,0
2020-10-29,0,0,0
2020-10-30,0,0,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,0,0,0
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,0,0,0
2020-11-17,0,0,0
2020-11-18,0,0,0
2020-11-19,0,0,0
2020-11-20,0,0,0
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,0,0
2020-11-24,0,0,0
2020-11-25,0,0,0
2020-11-26,0,0,0
2020-11-27,0,0,0
2020-11-28,0,0,0
2020-11-29,0,0,0
2020-11-30,0,0,0
2020-12-01,0,0,0
2020-12-02,0,0,0
2020-12-03,0,0,0
2020-12-04,0,0,0
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,0,0,0
2020-12-08,0,0,0
2020-12-09,0,0,0
2020-12-10,0,0,0
2020-12-11,0,0,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0,0,0
2020-12-17,0,0,0
2020-12-18,0,0,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,0,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,0,0,0
2021-01-06,0,0,0
2021-01-07,0,0,0
2021-01-08,0,0,0
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,0,0,0
2021-01-12,0,0,0
2021-01-13,0,0,0
2021-01-14,0,0,0
2021-01-15,0,0,0
2021-01-16,0,0,0
2021-01-17,0,0,0
2021-01-18,0,0,0
2021-01-19,0,0,0
2021-01-20,0,0,0
2021-01-21,0,0,0
2021-01-22,0,0,0
2021-01-23,0,0,0
2021-01-24,0,0,0
2021-01-25,0,0,0
2021-01-26,0,0,0
2021-01-27,0,0,0
2021-01-28,0,0,0
2021-01-29,12,17,5
2021-01-30,27,32,5
2021-01-31,28,33,5
2021-02-01,26,31,5
2021-02-02,28,35,7
2021-02-03,37,39,2
2021-02-04,27,31,4
2021-02-05,26,26,0
2021-02-06,33,39,6
2021-02-07,32,33,1
2021-02-08,40,41,1
2021-02-09,27,31,4
2021-02-10,31,32,1
2021-02-11,18,19,1
2021-02-12,21,24,3
2021-02-13,22,25,3
2021-02-14,28,32,4
2021-02-15,24,27,3
2021-02-16,25,32,7
2021-02-17,25,25,0
2021-02-18,22,23,1
2021-02-19,32,35,3
2021-02-20,33,34,1
2021-02-21,25,36,11
2021-02-22,27,108,81
2021-02-23,38,86,48
2021-02-24,22,59,37
2021-02-25,26,53,27
2021-02-26,24,52,28
2021-02-27,20,40,20
2021-02-28,23,41,18
2021-03-01,25,38,13
2021-03-02,31,48,17
2021-03-03,32,43,11
2021-03-04,23,37,14
2021-03-05,29,46,17
2021-03-06,28,43,15
2021-03-07,23,34,11
2021-03-08,30,36,6
2021-03-09,29,42,13
2021-03-10,34,41,7
2021-03-11,25,31,6
2021-03-12,16,22,6
2021-03-13,19,26,7
2021-03-14,24,28,4
2021-03-15,29,39,10
2021-03-16,29,33,4
2021-03-17,17,35,18
2021-03-18,27,32,5
2021-03-19,36,39,3
2021-03-20,28,31,3
2021-03-21,25,27,2
2021-03-22,35,36,1
2021-03-23,17,21,4
2021-03-24,34,40,6
2021-03-25,25,28,3
2021-03-26,22,23,1
2021-03-27,19,21,2
2021-03-28,17,23,6
2021-03-29,6,8,2
2021-03-30,10,14,4
2021-03-31,21,23,2
2021-04-01,27,27,0
2021-04-02,40,45,5
2021-04-03,27,29,2
2021-04-04,31,35,4
2021-04-05,17,21,4
2021-04-06,13,18,5
2021-04-07,23,23,0
2021-04-08,19,23,4
2021-04-09,15,20,5
2021-04-10,25,32,7
2021-04-11,29,31,2
2021-04-12,29,32,3
2021-04-13,25,33,8
2021-04-14,35,40,5
2021-04-15,19,21,2
2021-04-16,20,23,3
2021-04-17,15,17,2
2021-04-18,36,44,8
2021-04-19,28,32,4
2021-04-20,30,32,2
2021-04-21,39,42,3
2021-04-22,22,27,5
